MAX_CAP_PROGRAM,PERIOD,max_cap_mw,description
MaxCapTag_SolarGrowth,2024,121039.59999999998,National Solar Growth Limit
MaxCapTag_SolarGrowth,2025,157990.36,National Solar Growth Limit
MaxCapTag_SolarGrowth,2028,319391.27968,National Solar Growth Limit
MaxCapTag_SolarGrowth,2029,396012.375616,National Solar Growth Limit
MaxCapTag_SolarGrowth,2030,999999999.0,"National Solar Growth Limit (released, cost_optimal schedule)"
MaxCapTag_SolarGrowth,2035,999999999.0,"National Solar Growth Limit (released, cost_optimal schedule)"
MaxCapTag_SolarGrowth,2040,999999999.0,"National Solar Growth Limit (released, cost_optimal schedule)"
MaxCapTag_SolarGrowth,2045,999999999.0,"National Solar Growth Limit (released, cost_optimal schedule)"
MaxCapTag_SolarGrowth,2050,999999999.0,"National Solar Growth Limit (released, cost_optimal schedule)"
MaxCapTag_WindGrowth,2024,151941.5,National Wind Growth Limit
MaxCapTag_WindGrowth,2025,166431.5,National Wind Growth Limit
MaxCapTag_WindGrowth,2026,180921.5,National Wind Growth Limit
MaxCapTag_WindGrowth,2027,195411.5,National Wind Growth Limit
MaxCapTag_WindGrowth,2028,209901.5,National Wind Growth Limit
MaxCapTag_WindGrowth,2029,224391.5,National Wind Growth Limit
MaxCapTag_WindGrowth,2030,999999999.0,"National Wind Growth Limit (released, cost_optimal schedule)"
MaxCapTag_WindGrowth,2035,999999999.0,"National Wind Growth Limit (released, cost_optimal schedule)"
MaxCapTag_WindGrowth,2040,999999999.0,"National Wind Growth Limit (released, cost_optimal schedule)"
MaxCapTag_WindGrowth,2045,999999999.0,"National Wind Growth Limit (released, cost_optimal schedule)"
MaxCapTag_WindGrowth,2050,999999999.0,"National Wind Growth Limit (released, cost_optimal schedule)"
MaxCapTag_WindGrowth_CAISO,2024,8973.3,CAISO Wind Growth Limit
MaxCapTag_WindGrowth_CAISO,2025,8973.3,CAISO Wind Growth Limit
MaxCapTag_WindGrowth_CAISO,2026,8973.3,CAISO Wind Growth Limit
MaxCapTag_WindGrowth_CAISO,2027,8973.3,CAISO Wind Growth Limit
MaxCapTag_WindGrowth_CAISO,2028,8973.3,CAISO Wind Growth Limit
MaxCapTag_WindGrowth_CAISO,2029,7966.7,CAISO Wind Growth Limit
MaxCapTag_WindGrowth_CAISO,2030,8211.5,CAISO Wind Growth Limit
MaxCapTag_WindGrowth_CAISO,2035,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_CAISO,2040,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_CAISO,2045,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_CAISO,2050,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_ERCOT,2024,57936.5,ERCOT Wind Growth Limit
MaxCapTag_WindGrowth_ERCOT,2025,57936.5,ERCOT Wind Growth Limit
MaxCapTag_WindGrowth_ERCOT,2026,57936.5,ERCOT Wind Growth Limit
MaxCapTag_WindGrowth_ERCOT,2027,57936.5,ERCOT Wind Growth Limit
MaxCapTag_WindGrowth_ERCOT,2028,57936.5,ERCOT Wind Growth Limit
MaxCapTag_WindGrowth_ERCOT,2029,60125.0,ERCOT Wind Growth Limit
MaxCapTag_WindGrowth_ERCOT,2030,64427.9,ERCOT Wind Growth Limit
MaxCapTag_WindGrowth_ERCOT,2035,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_ERCOT,2040,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_ERCOT,2045,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_ERCOT,2050,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_ISONE,2024,1555.3,ISONE Wind Growth Limit
MaxCapTag_WindGrowth_ISONE,2025,1555.3,ISONE Wind Growth Limit
MaxCapTag_WindGrowth_ISONE,2026,1555.3,ISONE Wind Growth Limit
MaxCapTag_WindGrowth_ISONE,2027,1555.3,ISONE Wind Growth Limit
MaxCapTag_WindGrowth_ISONE,2028,1555.3,ISONE Wind Growth Limit
MaxCapTag_WindGrowth_ISONE,2029,2162.7,ISONE Wind Growth Limit
MaxCapTag_WindGrowth_ISONE,2030,2288.8,ISONE Wind Growth Limit
MaxCapTag_WindGrowth_ISONE,2035,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_ISONE,2040,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_ISONE,2045,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_ISONE,2050,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_MISO,2024,45081.7,MISO Wind Growth Limit
MaxCapTag_WindGrowth_MISO,2025,45081.7,MISO Wind Growth Limit
MaxCapTag_WindGrowth_MISO,2026,45081.7,MISO Wind Growth Limit
MaxCapTag_WindGrowth_MISO,2027,45081.7,MISO Wind Growth Limit
MaxCapTag_WindGrowth_MISO,2028,45081.7,MISO Wind Growth Limit
MaxCapTag_WindGrowth_MISO,2029,48446.0,MISO Wind Growth Limit
MaxCapTag_WindGrowth_MISO,2030,51574.2,MISO Wind Growth Limit
MaxCapTag_WindGrowth_MISO,2035,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_MISO,2040,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_MISO,2045,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_MISO,2050,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_NYISO,2024,3322.8,NYISO Wind Growth Limit
MaxCapTag_WindGrowth_NYISO,2025,3322.8,NYISO Wind Growth Limit
MaxCapTag_WindGrowth_NYISO,2026,3322.8,NYISO Wind Growth Limit
MaxCapTag_WindGrowth_NYISO,2027,3322.8,NYISO Wind Growth Limit
MaxCapTag_WindGrowth_NYISO,2028,3322.8,NYISO Wind Growth Limit
MaxCapTag_WindGrowth_NYISO,2029,3808.9,NYISO Wind Growth Limit
MaxCapTag_WindGrowth_NYISO,2030,3996.8,NYISO Wind Growth Limit
MaxCapTag_WindGrowth_NYISO,2035,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_NYISO,2040,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_NYISO,2045,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_NYISO,2050,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_NorthernGrid,2024,19013.5,NorthernGrid Wind Growth Limit
MaxCapTag_WindGrowth_NorthernGrid,2025,19013.5,NorthernGrid Wind Growth Limit
MaxCapTag_WindGrowth_NorthernGrid,2026,19013.5,NorthernGrid Wind Growth Limit
MaxCapTag_WindGrowth_NorthernGrid,2027,19013.5,NorthernGrid Wind Growth Limit
MaxCapTag_WindGrowth_NorthernGrid,2028,19013.5,NorthernGrid Wind Growth Limit
MaxCapTag_WindGrowth_NorthernGrid,2029,10420.2,NorthernGrid Wind Growth Limit
MaxCapTag_WindGrowth_NorthernGrid,2030,10767.7,NorthernGrid Wind Growth Limit
MaxCapTag_WindGrowth_NorthernGrid,2035,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_NorthernGrid,2040,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_NorthernGrid,2045,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_NorthernGrid,2050,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_PJM,2024,15477.7,PJM Wind Growth Limit
MaxCapTag_WindGrowth_PJM,2025,15477.7,PJM Wind Growth Limit
MaxCapTag_WindGrowth_PJM,2026,15477.7,PJM Wind Growth Limit
MaxCapTag_WindGrowth_PJM,2027,15477.7,PJM Wind Growth Limit
MaxCapTag_WindGrowth_PJM,2028,15477.7,PJM Wind Growth Limit
MaxCapTag_WindGrowth_PJM,2029,15453.4,PJM Wind Growth Limit
MaxCapTag_WindGrowth_PJM,2030,16253.0,PJM Wind Growth Limit
MaxCapTag_WindGrowth_PJM,2035,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_PJM,2040,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_PJM,2045,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_PJM,2050,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_SPP,2024,41803.2,SPP Wind Growth Limit
MaxCapTag_WindGrowth_SPP,2025,41803.2,SPP Wind Growth Limit
MaxCapTag_WindGrowth_SPP,2026,41803.2,SPP Wind Growth Limit
MaxCapTag_WindGrowth_SPP,2027,41803.2,SPP Wind Growth Limit
MaxCapTag_WindGrowth_SPP,2028,41803.2,SPP Wind Growth Limit
MaxCapTag_WindGrowth_SPP,2029,52487.2,SPP Wind Growth Limit
MaxCapTag_WindGrowth_SPP,2030,56377.6,SPP Wind Growth Limit
MaxCapTag_WindGrowth_SPP,2035,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_SPP,2040,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_SPP,2045,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_SPP,2050,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_WestConnect,2024,22839.7,WestConnect Wind Growth Limit
MaxCapTag_WindGrowth_WestConnect,2025,22839.7,WestConnect Wind Growth Limit
MaxCapTag_WindGrowth_WestConnect,2026,22839.7,WestConnect Wind Growth Limit
MaxCapTag_WindGrowth_WestConnect,2027,22839.7,WestConnect Wind Growth Limit
MaxCapTag_WindGrowth_WestConnect,2028,22839.7,WestConnect Wind Growth Limit
MaxCapTag_WindGrowth_WestConnect,2029,21195.8,WestConnect Wind Growth Limit
MaxCapTag_WindGrowth_WestConnect,2030,22658.4,WestConnect Wind Growth Limit
MaxCapTag_WindGrowth_WestConnect,2035,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_WestConnect,2040,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_WestConnect,2045,999999999.0,released (cost_optimal schedule)
MaxCapTag_WindGrowth_WestConnect,2050,999999999.0,released (cost_optimal schedule)
